# The following data matrix from the Internet
# This is smalMatrix_needToDoDataTransformation
# Just for example
# ==============================================
Gene	Sample1	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8
Gene1 	9.9811	2.8991	2.2991	1.7494	0.8362	1.1523	0.1844	0.2401
Gene2 	19.9784	15.3412	18.4279	15.0576	24.487	15.6895	22.2459	39.8472
Gene3 	2.2377	1.9977	2.6257	2.0544	2.0217	1.1162	0.5906	0.5447
Gene4 	2.9771	3.2668	3.8315	3.1946	0.9526	0.248	1.4287	1.5114
Gene5 	87.4159	73.2224	87.7985	76.5201	28.4157	28.6147	49.8389	38.3058
Gene6 	2.0745	4.93	0.4763	1.7809	1.3144	0.7603	0.2053	0
Gene7 	0.2084	0.9432	0.2392	0.4472	5.7209	2.2909	4.1248	7.2506
Gene8 	2.8912	3.6188	4.1736	3.4785	3.0993	2.4082	1.3441	1.8631
Gene9 	31.1758	46.0718	33.4883	31.3729	11.1606	13.6945	10.492	9.6315
Gene10	4.5544	3.5527	4.6695	4.9346	3.1284	1.7421	3.2387	1.5956
Gene11	1.6949	3.6287	1.9981	2.0645	0.6288	1.0493	0.9068	1.3579
Gene12	10.8986	10.5548	11.9864	13.4354	16.2725	18.531	26.0898	38.3479
Gene13	3.8286	3.1875	2.2601	1.9368	1.9926	2.4555	5.1158	3.7006
Gene14	6.0023	6.1845	6.8282	6.2391	9.713	7.0496	4.0935	6.8184
Gene15	3.4419	4.6474	3.4121	3.2317	1.0325	1.1826	1.2388	2.1171
Gene16	0.9985	0.8301	1.3566	1.7274	1.4632	1.2696	1.0286	1.2868
Gene17	1.499	1.5549	0.7169	2.0106	2.5062	2.4034	2.5963	3.8636
Gene18	5.5026	4.4891	8.3727	6.5911	8.2429	9.6141	3.2931	7.2565
Gene19	15.1799	10.541	13.7613	7.1263	3.8252	3.3189	2.7317	1.0004
Gene20	0.6303	0.5774	0.7579	0.934	2.0284	2.1999	1.4259	1.6633
Gene21	11.6706	12.2164	11.7249	9.4583	6.6573	6.8544	4.2165	5.567
